tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,-0.038,1.0
2,0.1,0.0,-0.024,1.0
3,0.15,0.0,-0.022,1.0
4,0.2,0.0,-0.038,1.0
5,0.25,1.0,0.041,0.0
6,0.3,0.0,0.06,0.0
7,0.35,0.0,0.048,1.0
8,0.4,0.0,0.047,1.0
9,0.45,1.0,0.049,0.0
10,0.5,0.0,0.026,1.0
11,0.55,0.0,0.044,1.0
12,0.6,0.0,0.027,1.0
13,0.65,1.0,0.033,0.0
14,0.7,0.0,0.025,1.0
15,0.75,0.0,0.022,1.0
16,0.8,0.0,0.022,1.0
17,0.85,1.0,0.02,0.0
18,0.9,1.0,0.027,0.0
19,0.95,0.0,0.007,1.0
20,1.0,1.0,0.019,0.0
21,1.05,1.0,0.004,0.0
22,1.1,1.0,0.004,0.0
23,1.15,1.0,0.004,0.0
24,1.2,1.0,0.004,0.0
25,1.25,1.0,0.003,0.0
26,1.3,1.0,-0.007,0.0
27,1.35,1.0,0.012,0.0
28,1.4,1.0,0.008,0.0
29,1.45,1.0,0.008,0.0
30,1.5,1.0,0.0,0.0
31,1.55,1.0,0.011,0.0
32,1.6,1.0,0.003,0.0
33,1.65,1.0,0.004,0.0
34,1.7,1.0,0.0,0.0
35,1.75,1.0,0.01,0.0
36,1.8,1.0,0.013,0.0
37,1.85,1.0,0.004,0.0
38,1.9,1.0,0.01,0.0
39,1.95,1.0,0.003,0.0
40,2.0,1.0,0.007,0.0
41,2.05,1.0,0.001,0.0
42,2.1,1.0,0.007,0.0
43,2.15,1.0,0.007,0.0
44,2.2,1.0,0.007,0.0
45,2.25,1.0,0.007,0.0
46,2.3,1.0,0.003,0.0
47,2.35,1.0,0.01,0.0
48,2.4,1.0,-0.001,0.0
49,2.45,1.0,0.0,0.0
50,2.5,1.0,-0.003,0.0
51,2.55,1.0,0.001,0.0
52,2.6,0.0,-0.003,0.0
53,2.65,0.8872,-0.004,0.0
54,2.7,0.8372,-0.002,0.0
55,2.75,0.0,-0.024,1.0
56,2.8,0.7372,-0.002,0.0
57,2.85,0.0,-0.017,1.0
58,2.9,0.0,-0.009,1.0
59,2.95,0.0,-0.005,1.0
60,3.0,0.0,-0.007,1.0
61,3.05,0.0,-0.007,1.0
62,3.1,0.0,0.008,1.0
63,3.15,0.0,0.005,1.0
64,3.2,0.0,0.0,1.0
65,3.25,1.0,0.005,0.0
66,3.3,0.737,-0.002,0.0
67,3.35,0.0,0.001,1.0
68,3.4,0.0,-0.004,1.0
69,3.45,0.0,-0.001,1.0
70,3.5,1.0,-0.002,0.0
71,3.55,1.0,-0.004,0.0
72,3.6,1.0,0.002,0.0
73,3.65,1.0,0.001,0.0
74,3.7,1.0,0.002,0.0
75,3.75,0.0,-0.0,1.0
76,3.8,1.0,0.013,0.0
77,3.85,1.0,0.005,0.0
78,3.9,1.0,0.008,0.0
79,3.95,0.0,-0.001,0.0
80,4.0,0.1464,0.01,0.0
81,4.05,0.246,0.003,0.0
82,4.1,0.4461,-0.003,0.0
83,4.15,0.4461,0.007,0.0
84,4.2,0.0,-0.002,1.0
85,4.25,0.0,0.005,1.0
86,4.3,0.4219,0.001,0.0
87,4.35,0.4219,-0.001,0.0
88,4.4,0.4219,0.003,0.0
89,4.45,0.5918,-0.009,0.0
90,4.5,0.2847,-0.002,0.0
91,4.55,0.3241,-0.014,0.0
92,4.6,1.0,-0.004,0.0
93,4.65,0.6128,-0.004,0.0
94,4.7,1.0,-0.003,0.0
95,4.75,0.751,0.001,0.0
96,4.8,0.2816,-0.002,0.0
97,4.85,0.6002,-0.01,0.0
98,4.9,0.0,-0.009,0.0
99,4.95,1.0,-0.002,0.0
100,5.0,0.0,-0.003,0.0
101,5.05,0.1333,-0.008,0.0
102,5.1,0.1333,-0.013,0.0
103,5.15,0.0,-0.003,1.0
104,5.2,0.1333,-0.003,0.0
105,5.25,0.1333,-0.003,0.0
106,5.3,1.0,0.003,0.0
107,5.35,0.8773,0.004,0.0
108,5.4,0.7251,0.004,0.0
109,5.45,0.9324,-0.003,0.0
110,5.5,0.971,0.008,0.0
111,5.55,0.6799,0.011,0.0
112,5.6,0.2981,0.007,0.0
113,5.65,0.0,-0.005,0.0
114,5.7,0.2041,-0.0,0.0
115,5.75,0.1875,0.004,0.0
116,5.8,0.1775,0.005,0.0
117,5.85,1.0,0.006,0.0
118,5.9,0.0,0.004,0.0
119,5.95,1.0,0.013,0.0
120,6.0,0.9934,0.006,0.0
121,6.05,1.0,-0.005,0.0
122,6.1,1.0,-0.004,0.0
123,6.15,1.0,0.008,0.0
124,6.2,0.0,0.003,0.0
125,6.25,0.3018,0.011,0.0
126,6.3,0.2856,-0.0,0.0
127,6.35,0.2675,0.007,0.0
128,6.4,0.2506,0.004,0.0
129,6.45,0.2318,0.002,0.0
130,6.5,0.2118,0.011,0.0
131,6.55,1.0,-0.002,0.0
132,6.6,1.0,-0.017,0.0
133,6.65,0.0,-0.082,0.0
134,6.7,0.217,-0.032,0.0
135,6.75,0.0,-0.054,0.0
136,6.8,0.2789,-0.018,0.0
137,6.85,0.5999,-0.045,0.0
138,6.9,1.0,-0.02,0.0
139,6.95,1.0,-0.032,0.0
140,7.0,1.0,-0.024,0.0
141,7.05,1.0,-0.021,0.0
142,7.1,0.0,-0.04,0.0
143,7.15,1.0,-0.057,0.0
144,7.2,0.0,-0.079,0.0
145,7.25,1.0,-0.024,0.0
