tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.829,6.456,20.63,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.563,6.454,19.43,9.802,-1,0
4,0.2,81.491,6.413,19.63,91.315,6.453,16.33,9.825,-1,0
5,0.25,81.22,6.413,19.76,91.12,6.453,12.64,9.9,-1,0
6,0.3,80.95,6.411,19.25,90.971,6.452,9.56,10.022,-1,0
7,0.35,80.68,6.41,19.56,90.849,6.452,8.85,10.17,-1,0
8,0.4,80.425,6.408,17.88,90.727,6.451,8.79,10.302,-1,0
9,0.45,80.184,6.407,17.47,90.605,6.451,8.78,10.422,-1,0
10,0.5,79.946,6.405,17.34,90.484,6.453,8.72,10.539,-1,0
11,0.55,79.708,6.404,17.41,90.365,6.457,8.55,10.658,-1,0
12,0.6,79.467,6.403,17.59,90.247,6.463,8.46,10.782,-1,0
13,0.65,79.222,6.402,17.86,90.109,6.471,11.05,10.888,-1,0
14,0.7,78.972,6.401,18.18,89.937,6.479,13.06,10.967,-1,0
15,0.75,78.717,6.4,18.35,89.746,6.486,14.14,11.031,-1,0
16,0.8,78.464,6.4,18.24,89.548,6.492,14.31,11.085,-1,0
17,0.85,78.211,6.399,18.53,89.352,6.498,13.94,11.142,-1,0
18,0.9,77.956,6.398,18.52,89.163,6.502,13.34,11.209,-1,0
19,0.95,77.703,6.397,17.96,88.983,6.505,12.82,11.282,-1,0
20,1.0,77.448,6.396,18.63,88.806,6.506,12.7,11.36,-1,0
21,1.05,77.185,6.395,19.1,88.628,6.508,12.97,11.445,-1,0
22,1.1,76.915,6.394,19.68,88.443,6.508,13.63,11.529,-1,0
23,1.15,76.641,6.393,19.82,88.246,6.509,14.54,11.607,-1,0
24,1.2,76.361,6.392,20.25,88.036,6.51,15.58,11.676,-1,0
25,1.25,76.075,6.391,20.76,87.81,6.51,16.69,11.736,-1,0
26,1.3,75.781,6.39,21.39,87.569,6.509,17.83,11.789,-1,0
27,1.35,75.481,6.389,21.6,87.311,6.508,19.0,11.831,-1,0
28,1.4,75.176,6.387,21.99,87.039,6.506,19.73,11.864,-1,0
29,1.45,74.868,6.386,22.24,86.762,6.504,20.18,11.895,-1,0
30,1.5,74.555,6.385,22.59,86.477,6.501,20.8,11.922,-1,0
31,1.55,74.239,6.385,22.8,86.18,6.496,21.79,11.942,-1,0
32,1.6,73.918,6.384,23.26,85.869,6.491,22.78,11.952,-1,0
33,1.65,73.592,6.383,23.54,85.541,6.484,24.37,11.95,51.856,0
34,1.7,73.262,6.382,23.95,85.193,6.476,25.35,11.932,30.645,0
35,1.75,72.927,6.381,24.19,84.835,6.466,26.07,11.908,22.806,0
36,1.8,72.589,6.38,24.55,84.472,6.455,26.07,11.884,28.214,0
37,1.85,72.245,6.378,24.85,84.112,6.443,25.85,11.867,42.605,0
38,1.9,71.898,6.376,25.16,83.758,6.432,25.22,11.861,730.398,0
39,1.95,71.547,6.375,25.45,83.413,6.42,24.65,11.867,-1,0
40,2.0,71.191,6.373,25.78,83.078,6.407,23.79,11.888,-1,0
41,2.05,70.83,6.371,26.1,82.754,6.395,23.09,11.924,-1,0
42,2.1,70.465,6.369,26.47,82.446,6.383,20.97,11.981,-1,0
43,2.15,70.096,6.368,26.76,82.196,6.374,16.12,12.101,-1,0
44,2.2,69.723,6.365,26.89,82.014,6.367,11.24,12.291,-1,0
45,2.25,69.35,6.363,26.91,81.898,6.362,6.39,12.549,-1,0
46,2.3,68.977,6.36,26.98,81.85,6.36,1.6,12.873,-1,0
47,2.35,68.597,6.358,27.58,81.818,6.358,2.77,13.221,-1,0
48,2.4,68.211,6.355,27.95,81.765,6.355,4.32,13.555,-1,0
49,2.45,67.82,6.353,28.27,81.693,6.351,5.7,13.874,-1,0
50,2.5,67.425,6.35,28.56,81.604,6.345,7.02,14.179,-1,0
51,2.55,67.026,6.347,28.83,81.495,6.339,8.38,14.469,-1,0
52,2.6,66.624,6.344,29.09,81.367,6.331,9.75,14.743,-1,0
53,2.65,66.217,6.342,29.34,81.22,6.323,11.08,15.003,-1,0
54,2.7,65.808,6.339,29.59,81.056,6.313,12.42,15.248,-1,0
55,2.75,65.395,6.336,29.83,80.873,6.302,13.71,15.478,-1,0
56,2.8,64.979,6.333,30.06,80.672,6.29,14.97,15.693,-1,0
57,2.85,64.559,6.331,30.3,80.454,6.277,16.22,15.895,-1,0
58,2.9,64.136,6.328,30.54,80.22,6.263,17.45,16.083,-1,0
59,2.95,63.71,6.325,30.77,79.968,6.248,18.68,16.258,-1,0
60,3.0,63.281,6.322,31.01,79.7,6.231,19.79,16.419,-1,0
61,3.05,62.848,6.319,31.24,79.423,6.214,20.18,16.575,-1,0
62,3.1,62.412,6.316,31.48,79.14,6.196,20.69,16.728,-1,0
63,3.15,61.973,6.314,31.71,78.846,6.176,21.64,16.874,-1,0
64,3.2,61.531,6.311,31.95,78.539,6.154,22.59,17.009,-1,0
65,3.25,61.086,6.308,32.18,78.216,6.13,23.96,17.131,-1,0
66,3.3,60.637,6.305,32.42,77.875,6.104,25.08,17.239,-1,0
67,3.35,60.185,6.302,32.65,77.517,6.075,26.48,17.334,-1,0
68,3.4,59.73,6.299,32.89,77.141,6.042,27.57,17.413,-1,0
69,3.45,59.271,6.296,33.12,76.752,6.007,28.48,17.484,-1,0
70,3.5,58.809,6.293,33.35,76.352,5.969,29.19,17.546,-1,0
71,3.55,58.344,6.29,33.59,75.943,5.931,29.76,17.603,-1,0
72,3.6,57.876,6.287,33.82,75.53,5.892,29.89,17.659,-1,0
73,3.65,57.404,6.284,34.04,75.118,5.851,29.75,17.719,-1,0
74,3.7,56.93,6.281,34.26,74.711,5.805,29.29,17.788,-1,0
75,3.75,56.453,6.278,34.46,74.31,5.751,29.09,17.865,-1,0
76,3.8,55.972,6.274,34.65,73.912,5.691,29.0,17.949,-1,0
77,3.85,55.49,6.271,34.83,73.511,5.633,29.29,18.033,-1,0
78,3.9,55.005,6.268,35.0,73.105,5.574,29.77,18.114,-1,0
79,3.95,54.517,6.265,35.16,72.689,5.512,30.62,18.188,-1,0
80,4.0,54.028,6.262,35.3,72.262,5.449,31.45,18.252,-1,0
81,4.05,53.537,6.259,35.44,71.824,5.385,32.07,18.308,-1,0
82,4.1,53.043,6.255,35.57,71.383,5.322,32.02,18.363,-1,0
83,4.15,52.549,6.252,35.68,70.945,5.26,31.71,18.423,-1,0
