tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,-16.391,-84.008,21.21,-16.431,-94.008,21.21,10.0,-1,0
1,0.05,-16.39,-83.73,21.86,-16.43,-93.73,21.86,10.0,-1,0
2,0.1,-16.389,-83.457,21.11,-16.428,-93.457,20.5,10.0,-1,0
3,0.15,-16.388,-83.184,20.45,-16.428,-93.273,10.44,10.088,-1,0
4,0.2,-16.387,-82.912,20.19,-16.427,-93.197,2.79,10.286,-1,0
5,0.25,-16.386,-82.64,19.92,-16.427,-93.191,0.3,10.552,-1,0
6,0.3,-16.385,-82.366,19.32,-16.427,-93.191,0.65,10.826,-1,0
7,0.35,-16.384,-82.09,20.09,-16.427,-93.191,0.7,11.101,-1,0
8,0.4,-16.383,-81.825,18.76,-16.427,-93.191,0.62,11.367,-1,0
9,0.45,-16.382,-81.571,18.19,-16.427,-93.19,0.51,11.62,-1,0
10,0.5,-16.381,-81.327,17.77,-16.427,-93.19,0.39,11.864,-1,0
11,0.55,-16.38,-81.082,17.78,-16.427,-93.19,0.29,12.108,-1,0
12,0.6,-16.379,-80.836,17.94,-16.427,-93.19,0.21,12.354,-1,0
13,0.65,-16.378,-80.586,18.19,-16.427,-93.19,0.15,12.604,-1,0
14,0.7,-16.377,-80.332,18.3,-16.427,-93.19,0.1,12.858,-1,0
15,0.75,-16.376,-80.08,18.2,-16.427,-93.19,0.07,13.11,-1,0
16,0.8,-16.375,-79.827,18.47,-16.427,-93.177,2.0,13.35,-1,0
17,0.85,-16.374,-79.566,18.81,-16.427,-93.125,4.7,13.559,-1,0
18,0.9,-16.373,-79.308,18.47,-16.427,-93.044,6.53,13.735,-1,0
19,0.95,-16.372,-79.049,18.86,-16.426,-92.94,8.05,13.891,-1,0
20,1.0,-16.371,-78.791,18.85,-16.425,-92.818,9.31,14.027,-1,0
21,1.05,-16.37,-78.524,19.55,-16.425,-92.68,10.35,14.156,-1,0
22,1.1,-16.37,-78.247,20.1,-16.424,-92.527,11.37,14.28,-1,0
23,1.15,-16.369,-77.964,20.63,-16.423,-92.361,12.36,14.398,-1,0
24,1.2,-16.368,-77.673,21.15,-16.422,-92.182,13.31,14.509,-1,0
25,1.25,-16.367,-77.375,21.54,-16.422,-91.99,14.13,14.615,-1,0
26,1.3,-16.365,-77.072,21.96,-16.421,-91.789,14.66,14.717,-1,0
27,1.35,-16.362,-76.763,22.2,-16.419,-91.583,14.93,14.819,-1,0
28,1.4,-16.36,-76.451,22.56,-16.418,-91.375,14.97,14.924,-1,0
29,1.45,-16.357,-76.135,22.83,-16.417,-91.168,14.88,15.032,-1,0
30,1.5,-16.355,-75.815,23.26,-16.416,-90.962,14.74,15.147,-1,0
31,1.55,-16.353,-75.489,23.67,-16.415,-90.759,14.56,15.27,-1,0
32,1.6,-16.351,-75.16,23.83,-16.414,-90.558,14.4,15.399,-1,0
33,1.65,-16.349,-74.826,24.15,-16.413,-90.359,14.41,15.532,-1,0
34,1.7,-16.346,-74.489,24.43,-16.412,-90.157,14.63,15.669,-1,0
35,1.75,-16.344,-74.148,24.7,-16.412,-89.95,15.04,15.803,-1,0
36,1.8,-16.342,-73.803,24.98,-16.411,-89.737,15.52,15.935,-1,0
37,1.85,-16.34,-73.454,25.3,-16.41,-89.52,15.75,16.066,-1,0
38,1.9,-16.338,-73.1,25.61,-16.409,-89.3,15.77,16.2,-1,0
39,1.95,-16.336,-72.742,25.98,-16.408,-89.082,15.68,16.34,-1,0
40,2.0,-16.334,-72.38,26.3,-16.407,-88.866,15.52,16.486,-1,0
