tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,-0.32,1.0
2,0.1,0.0,-0.212,1.0
3,0.15,0.0,-0.153,1.0
4,0.2,0.0,-0.078,1.0
5,0.25,0.0,0.0,1.0
6,0.3,0.0,0.0,1.0
7,0.35,0.0,0.0,1.0
8,0.4,0.0,0.0,1.0
9,0.45,0.0,0.0,1.0
10,0.5,0.0,0.0,1.0
11,0.55,0.0,0.0,1.0
12,0.6,1.0,0.002,0.0
13,0.65,1.0,0.003,0.0
14,0.7,1.0,-0.001,0.0
15,0.75,1.0,-0.004,0.0
16,0.8,1.0,-0.006,0.0
17,0.85,1.0,-0.006,0.0
18,0.9,1.0,-0.006,0.0
19,0.95,1.0,-0.005,0.0
20,1.0,1.0,-0.005,0.0
21,1.05,1.0,-0.004,0.0
22,1.1,1.0,-0.005,0.0
23,1.15,1.0,-0.006,0.0
24,1.2,1.0,-0.001,0.0
25,1.25,1.0,-0.004,0.0
26,1.3,1.0,-0.004,0.0
27,1.35,1.0,0.0,0.0
28,1.4,1.0,-0.001,0.0
29,1.45,1.0,0.001,0.0
30,1.5,1.0,0.005,0.0
31,1.55,1.0,0.007,0.0
32,1.6,1.0,0.01,0.0
33,1.65,1.0,0.012,0.0
34,1.7,1.0,0.015,0.0
35,1.75,1.0,0.015,0.0
36,1.8,0.6706,0.015,0.0
37,1.85,0.3361,0.012,0.0
38,1.9,0.0,0.011,1.0
39,1.95,0.0,0.011,1.0
40,2.0,0.0,0.011,1.0
41,2.05,0.0,0.006,1.0
42,2.1,0.0,0.004,1.0
43,2.15,0.2379,0.002,0.0
44,2.2,0.4484,-0.0,0.0
45,2.25,0.8725,-0.006,0.0
46,2.3,0.9556,-0.03,0.0
47,2.35,1.0,-0.021,0.0
48,2.4,0.9714,-0.009,0.0
49,2.45,0.7497,-0.003,0.0
50,2.5,0.2386,-0.008,0.0
51,2.55,0.2435,-0.006,0.0
52,2.6,0.0,-0.009,1.0
53,2.65,0.0,-0.006,1.0
54,2.7,0.0,-0.002,1.0
55,2.75,0.2722,0.0,0.0
56,2.8,0.2857,0.006,0.0
57,2.85,0.6214,0.007,0.0
58,2.9,0.9141,0.011,0.0
59,2.95,1.0,0.012,0.0
60,3.0,0.9136,0.012,0.0
61,3.05,0.7868,0.016,0.0
62,3.1,0.44,0.02,0.0
63,3.15,0.2481,0.005,0.0
64,3.2,0.0,0.005,1.0
65,3.25,0.0,0.002,1.0
66,3.3,0.0,0.001,1.0
67,3.35,0.2476,-0.005,0.0
68,3.4,0.244,-0.033,0.0
69,3.45,0.4689,-0.017,0.0
70,3.5,0.7986,-0.005,0.0
71,3.55,0.8678,-0.003,0.0
72,3.6,1.0,-0.007,0.0
73,3.65,1.0,-0.007,0.0
74,3.7,0.9183,-0.013,0.0
75,3.75,1.0,-0.011,0.0
76,3.8,1.0,-0.001,0.0
77,3.85,0.576,0.001,0.0
78,3.9,1.0,0.008,0.0
79,3.95,1.0,0.014,0.0
80,4.0,1.0,0.014,0.0
81,4.05,1.0,0.013,0.0
82,4.1,1.0,0.021,0.0
83,4.15,1.0,0.006,0.0
84,4.2,0.937,0.005,0.0
85,4.25,0.3319,0.002,0.0
86,4.3,0.339,-0.002,0.0
87,4.35,0.3434,-0.022,0.0
88,4.4,0.3458,-0.005,0.0
89,4.45,0.0,-0.006,1.0
90,4.5,0.0,-0.004,1.0
91,4.55,0.0,-0.007,1.0
92,4.6,0.0,-0.002,1.0
93,4.65,0.0,0.001,1.0
94,4.7,0.0,0.002,1.0
95,4.75,1.0,0.003,0.0
96,4.8,1.0,0.004,0.0
97,4.85,1.0,0.009,0.0
98,4.9,1.0,0.004,0.0
99,4.95,1.0,0.002,0.0
100,5.0,1.0,-0.0,0.0
101,5.05,1.0,-0.007,0.0
102,5.1,1.0,-0.006,0.0
103,5.15,1.0,-0.004,0.0
104,5.2,0.449,-0.005,0.0
105,5.25,0.3401,-0.013,0.0
106,5.3,0.3449,-0.008,0.0
107,5.35,0.3472,0.003,0.0
108,5.4,0.0,0.005,1.0
109,5.45,0.0,0.005,1.0
110,5.5,0.3452,0.006,0.0
111,5.55,0.6577,0.011,0.0
112,5.6,0.9261,0.005,0.0
113,5.65,0.7555,0.006,0.0
114,5.7,0.553,0.002,0.0
115,5.75,0.3971,-0.009,0.0
116,5.8,0.3419,-0.003,0.0
117,5.85,0.3422,-0.001,0.0
118,5.9,0.3425,-0.005,0.0
119,5.95,0.342,-0.009,0.0
120,6.0,0.3417,-0.001,0.0
121,6.05,0.3407,0.002,0.0
122,6.1,0.3402,0.005,0.0
123,6.15,0.339,0.008,0.0
124,6.2,0.3384,0.009,0.0
125,6.25,0.3371,0.016,0.0
126,6.3,0.3364,0.006,0.0
127,6.35,0.3351,0.006,0.0
128,6.4,0.3344,-0.001,0.0
129,6.45,0.333,-0.014,0.0
130,6.5,0.3323,-0.01,0.0
131,6.55,0.3309,-0.006,0.0
132,6.6,0.3301,-0.008,0.0
133,6.65,0.505,-0.009,0.0
134,6.7,0.5961,-0.002,0.0
135,6.75,0.6626,0.003,0.0
136,6.8,0.5347,0.005,0.0
137,6.85,0.7232,0.008,0.0
138,6.9,0.7253,0.007,0.0
139,6.95,0.6074,0.015,0.0
140,7.0,0.3859,0.008,0.0
141,7.05,0.3369,0.003,0.0
142,7.1,0.3383,-0.012,0.0
143,7.15,0.3384,-0.055,0.0
144,7.2,0.3384,-0.039,0.0
145,7.25,0.0,-0.025,1.0
146,7.3,0.3369,0.017,0.0
147,7.35,0.3344,0.028,0.0
148,7.4,0.6743,0.052,0.0
149,7.45,0.503,0.018,0.0
150,7.5,0.5738,0.031,0.0
151,7.55,0.5589,0.012,0.0
152,7.6,0.3312,-0.001,0.0
153,7.65,0.3314,0.004,0.0
154,7.7,0.0,-0.021,1.0
155,7.75,0.0,-0.066,1.0
156,7.8,0.3277,-0.155,0.0
157,7.85,1.0,-0.299,0.0
158,7.9,1.0,-0.278,0.0
159,7.95,1.0,-0.249,0.0
160,8.0,1.0,-0.17,0.0
161,8.05,1.0,0.093,0.0
162,8.1,1.0,0.6,0.0
163,8.15,1.0,0.551,0.0
164,8.2,1.0,0.569,0.0
165,8.25,0.9051,0.67,0.0
166,8.3,0.617,0.666,0.0
167,8.35,0.0,0.611,1.0
168,8.4,0.0,0.503,1.0
169,8.45,0.3422,0.311,0.0
170,8.5,0.3414,0.223,0.0
